Title,Pub_name,DOI,Year,Link
A novel integrated process for selective preparation of jet-range fuels from low carbon alcohols and ABE,Fuel Processing Technology,10.1016/j.fuproc.2022.107603,2023-03-31,https://api.elsevier.com/content/article/doi/10.1016/j.fuproc.2022.107603?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Iron nanoparticles in isopropyl alcohol: Preparation and properties,Journal of Molecular Liquids,10.1016/j.molliq.2022.120743,2022-12-15,https://api.elsevier.com/content/article/doi/10.1016/j.molliq.2022.120743?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Comparing surgeons’ skin tolerance and acceptability to alcohol-based surgical hand preparation vs traditional surgical scrub: A matched quasi-experimental study,American Journal of Infection Control,10.1016/j.ajic.2022.01.028,2022-10-31,https://api.elsevier.com/content/article/doi/10.1016/j.ajic.2022.01.028?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Surfactant-assisted preparation of Mo-Co-K sulfide catalysts for the synthesis of low-carbon alcohols <ce:italic>via</ce:italic> CO<ce:inf loc=post>2</ce:inf> hydrogenation,Chemical Engineering Journal Advances,10.1016/j.ceja.2022.100256,2022-05-15,https://api.elsevier.com/content/article/doi/10.1016/j.ceja.2022.100256?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of nanocellulose-polyvinyl alcohol composite hydrogels from <ce:italic>Desmodium intortum</ce:italic> (Mill.) Urb.: Chemical property characterization,Industrial Crops and Products,10.1016/j.indcrop.2021.114371,2022-02-28,https://api.elsevier.com/content/article/doi/10.1016/j.indcrop.2021.114371?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Facile preparation and characterization of tough poly(vinyl alcohol) organohydrogels with low friction and self-cleaning properties,Journal of Industrial and Engineering Chemistry,10.1016/j.jiec.2022.09.011,2022-12-25,https://api.elsevier.com/content/article/doi/10.1016/j.jiec.2022.09.011?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Griess-doped polyvinyl alcohol thin film for on-site simultaneous sample preparation and nitrite determination of processed meat products,Food Chemistry,10.1016/j.foodchem.2022.133085,2022-09-30,https://api.elsevier.com/content/article/doi/10.1016/j.foodchem.2022.133085?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and optimization of tetraethyl orthosilicate cross-linked chitosan-guar gum-poly(vinyl alcohol) composites reinforced with montmorillonite for sustained release of sitagliptin,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2022.12.302,2023-02-28,https://api.elsevier.com/content/article/doi/10.1016/j.ijbiomac.2022.12.302?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation of cellulose tri-acetate membranes for high-alcohol beverages via genetic algorithms and high throughput experimentation,Separation and Purification Technology,10.1016/j.seppur.2023.123226,2023-01-20,https://api.elsevier.com/content/article/doi/10.1016/j.seppur.2023.123226?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Preparation and antibacterial properties of chitosan/polyvinyl alcohol nanofibrous mats using different organic acids as solvents,Process Biochemistry,10.1016/j.procbio.2022.08.025,2022-11-30,https://api.elsevier.com/content/article/doi/10.1016/j.procbio.2022.08.025?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
