,DOI,Title,Abstract,Date,Journal,catalyst,reactant,Method,Product
0,10.1016/j.pecs.2022.101021,Pyrolysis technology for plastic waste recycling: A state-of-the-art review,"Discarded plastics can be converted to various fuels and chemicals to generate positive economic value instead of polluting the environment. In the past few years, pyrolysis has attracted much attention in the industrial and scientific communities as a promising versatile platform to convert plastic waste into valuable resources. However, it is still difficult to fine-tune an efficient and selective pyrolysis process to narrow the product distribution for a feasible commercial production. Furthermore, traditional plastic-to-fuels technology looks like another expensive way to burn fossil fuels, making no contribution to the plastic circular economy. By learning from the developed plastic-to-fuels technology, achieving the conversion of plastic waste into naphtha or plastic monomers that can be used for new plastic manufacturing in a closed-loop way is a more promising resource recovery pathway. However, there is no comprehensive review so far about achieving plastic waste recycling/upcycling by pyrolysis. This article will provide a critical review about the recovery pathways of plastic pyrolysis based on the various products (fuels, naphtha, hydrogen, and light olefins). It will overview the recent advances regarding plastic pyrolysis process and reactor design, introduce various recovery pathways based on the pyrolysis process, summarize process optimization and catalyst development, discuss the present challenges for plastic pyrolysis, highlight the importance and significance of creating a plastics’ circular economy, discuss the economic feasibility, the environmental impact, and outlook for future development for plastic pyrolysis. This review presents useful information to further develop and design an advanced pyrolysis process, with an improved efficiency, desirable product selectivity, and minimum environmental impacts. It is helpful to encourage more circular economy-oriented research aimed at converting waste plastics to naphtha and plastic monomers instead of simply producing fuels from the scientific communities of chemistry, energy, and the environment.",November 2022,Progress in Energy and Combustion Science,['naphtha'],"['Discarded plastics', 'plastic waste', 'plastic circular economy', 'naphtha plastic monomers', 'new plastic manufacturing', 'plastic waste recycling', 'plastic pyrolysis', 'plastic pyrolysis process', 'plastics’ circular economy', 'waste plastics', 'naphtha plastic monomers']","['pyrolysis', 'fine-tune efficient selective pyrolysis process', 'conversion', 'conversion', 'plastic pyrolysis', 'plastic pyrolysis process', 'pyrolysis process', 'advanced pyrolysis process']","['product distribution', 'feasible commercial production', 'naphtha plastic monomers', 'products', 'desirable product selectivity', 'naphtha plastic monomers', 'energy']"
1,10.1016/j.apsusc.2022.154734,Selective recycling of BTX hydrocarbons from electronic plastic wastes using catalytic fast pyrolysis,"Non-catalytic and catalytic pyrolysis of two waste electrical and electronic equipment (WEEE) fractions, with two different copper contents (low- and medium-grade WEEE named as LGE and MGE, respectively), were performed using micro- and lab-scale pyrolyzers. This research aimed to fundamentally study the feasibility of chemical recycling of the WEEE fractions via pyrolysis process considering molecular interactions at the interfaces of catalyst active sites and WEEE pyrolyzates which significantly influence the chemical functionality of surface intermediates and catalysis by reorganizing the pyrolyzates near catalytic active sites forming reactive surface intermediates. Hence, Al2O3, TiO2, HBeta, HZSM-5 and spent FCC catalysts were used in in-situ micro-scale pyrolysis. Results indicated that HBeta and HZSM-5 zeolites were more suitable than other catalysts for selective production of aromatic hydrocarbons and BTX. High acidity and shape selectivity of zeotype surfaces make them attractive frameworks for catalytic pyrolysis processes aiming for light hydrocarbons like BTX. Meanwhile, the ex-situ pyrolysis of LGE and MGE were carried out using HZSM-5 in micro- and lab-scale pyrolyzers to investigate the effect of pyrolysis configuration on the BTX selectivity. Although the ex-situ pyrolysis resulted in higher formation of BTX from LGE, the in-situ configuration was more efficient to produce BTX from MGE.",15 December 2022,Applied Surface Science,"['copper', 'TiO2', 'zeolites']",['waste electrical electronic equipment'],"['Non-catalytic catalytic pyrolysis', 'pyrolysis', 'pyrolysis process', 'catalytic pyrolysis processes', 'ex-situ pyrolysis', 'pyrolysis configuration']",['selective production']
2,10.1016/j.joei.2022.101154,Achieving affordable and clean energy through conversion of waste plastic to liquid fuel,"Millions of tons of waste plastic are generated worldwide every year. These waste plastics are nonbiodegradable and are inappropriately disposed thereby constituting sanitary and environmental nuisance to society. The discarded plastics are dumped into drainages and water bodies where they pollute the environment, contaminate aquatic habitats, and harm aquatic animals. Researchers have devised techniques for converting waste plastic to biofuels to replace the dangerous fossil-based fuels and meet the Sustainable Development Goal (SDG) of affordable and clean energy for all targets. This study reviews the strategies for achieving affordable and clean energy through the conversion of waste plastic to biofuels and other value-added products. The classes of plastics and their applications, waste plastic conversion routes and their products, and conversion of waste plastic to bio-oil, biohydrogen, and other renewable fuels are examined. The application of waste plastic in the building and construction industries, production of carbon nanotubes, synthesis of graphene nanosheets as novel biocatalyst, and wastewater treatment are also discussed with a view to exposing other avenues for the utilization of waste plastic. The outcome of this intervention will enrich scholarship by providing updated information on the strategies for converting waste plastic to biofuels and other value-added products. Biofuel researchers, waste managers, environmental enthusiasts, and other stakeholders will be equipped with adequate knowledge on opportunities available in the waste plastic conversion and how to turn the menace of waste plastic into beneficial products. Implementable legislations and policies to encourage investments into waste conversion for cleaner environment, employment generation, and biodiversity. More targeted interdisciplinary studies are required to evolve innovative pathways for sustainable conversion and utilization of waste plastic. The use of appropriate state-of-the-art technologies such as machine learning, artificial intelligence, etc. as well as statistical modeling, and optimization tools are needed to improve the conversion efficiency, optimize process parameters, and guarantee the sustainable production of quality products from waste plastic towards meeting SDG 7.",February 2023,Journal of the Energy Institute,['graphene'],"['waste plastic', 'These waste plastics', 'The discarded plastics', 'plastics', 'plastic conversion routes', 'wastewater treatment', 'waste managers', 'waste plastic conversion', 'waste conversion']","['conversion', 'conversion', 'plastic conversion routes', 'waste plastic conversion', 'waste conversion', 'sustainable conversion', 'conversion efficiency']","['affordable clean energy', 'value-added products', 'products', 'oil', 'production', 'beneficial products', 'sustainable production', 'quality products']"
3,10.1016/j.joei.2022.101154,Achieving affordable and clean energy through conversion of waste plastic to liquid fuel,"Millions of tons of waste plastic are generated worldwide every year. These waste plastics are nonbiodegradable and are inappropriately disposed thereby constituting sanitary and environmental nuisance to society. The discarded plastics are dumped into drainages and water bodies where they pollute the environment, contaminate aquatic habitats, and harm aquatic animals. Researchers have devised techniques for converting waste plastic to biofuels to replace the dangerous fossil-based fuels and meet the Sustainable Development Goal (SDG) of affordable and clean energy for all targets. This study reviews the strategies for achieving affordable and clean energy through the conversion of waste plastic to biofuels and other value-added products. The classes of plastics and their applications, waste plastic conversion routes and their products, and conversion of waste plastic to bio-oil, biohydrogen, and other renewable fuels are examined. The application of waste plastic in the building and construction industries, production of carbon nanotubes, synthesis of graphene nanosheets as novel biocatalyst, and wastewater treatment are also discussed with a view to exposing other avenues for the utilization of waste plastic. The outcome of this intervention will enrich scholarship by providing updated information on the strategies for converting waste plastic to biofuels and other value-added products. Biofuel researchers, waste managers, environmental enthusiasts, and other stakeholders will be equipped with adequate knowledge on opportunities available in the waste plastic conversion and how to turn the menace of waste plastic into beneficial products. Implementable legislations and policies to encourage investments into waste conversion for cleaner environment, employment generation, and biodiversity. More targeted interdisciplinary studies are required to evolve innovative pathways for sustainable conversion and utilization of waste plastic. The use of appropriate state-of-the-art technologies such as machine learning, artificial intelligence, etc. as well as statistical modeling, and optimization tools are needed to improve the conversion efficiency, optimize process parameters, and guarantee the sustainable production of quality products from waste plastic towards meeting SDG 7.",February 2023,Journal of the Energy Institute,['graphene'],"['waste plastic', 'These waste plastics', 'The discarded plastics', 'plastics', 'plastic conversion routes', 'wastewater treatment', 'waste managers', 'waste plastic conversion', 'waste conversion']","['conversion', 'conversion', 'plastic conversion routes', 'waste plastic conversion', 'waste conversion', 'sustainable conversion', 'conversion efficiency']","['affordable clean energy', 'value-added products', 'products', 'oil', 'production', 'beneficial products', 'sustainable production', 'quality products']"
4,10.1016/j.eti.2022.102453,Hydrocarbons recovery through catalytic pyrolysis of compostable and recyclable waste plastics using a novel desk-top staged reactor,"The overall objective of this study is to develop a novel two-staged fixed-bed reactor to evaluate the catalytic pyrolysis of recyclable (HDPE) and compostable waste plastics and to enhance the selectivity of gasoline range hydrocarbons in pyrolysis liquid. In this research, both used and unused compostable bioplastics, recyclable high-density polyethylene (HDPE) grocery bags, and unused HDPE were used as a feedstock Additionally, a mixture of recyclable plastic and compostable bioplastic with 1:1 ratio was pyrolyzed at 500 °C, and the pyrolysis oil products were compared with commercial gasoline. Zeolite Socony Mobil-5 (ZSM-5) was used as a catalyst in all the catalytic pyrolysis experiments, which produced wax-free shorter chain hydrocarbons similar to commercial gasoline. The addition of recyclable HDPE in compostable plastics improved the selectivity of gasoline range hydrocarbon ( C 6 − C 12 ) by 10% and increased the calorific value of pyrolysis liquids by 7.5% (43 MJ/kg), which is equivalent to commercial gasoline. Moreover, both compostable and recyclable plastics produced aromatic and aliphatic hydrocarbons that have potential applications in lubricants, additives, and petrochemical industries.",August 2022,Environmental Technology & Innovation,['Zeolite'],"['compostable waste plastics', 'unused compostable bioplastics', 'recyclable high-density polyethylene', 'recyclable plastic', 'compostable plastics', 'compostable recyclable plastics']","['pyrolysis', 'catalytic pyrolysis', 'pyrolysis liquid', 'pyrolysis oil products', 'catalytic pyrolysis experiments', 'pyrolysis liquids']",['pyrolysis oil products']
5,10.1016/j.eti.2022.102453,Hydrocarbons recovery through catalytic pyrolysis of compostable and recyclable waste plastics using a novel desk-top staged reactor,"The overall objective of this study is to develop a novel two-staged fixed-bed reactor to evaluate the catalytic pyrolysis of recyclable (HDPE) and compostable waste plastics and to enhance the selectivity of gasoline range hydrocarbons in pyrolysis liquid. In this research, both used and unused compostable bioplastics, recyclable high-density polyethylene (HDPE) grocery bags, and unused HDPE were used as a feedstock Additionally, a mixture of recyclable plastic and compostable bioplastic with 1:1 ratio was pyrolyzed at 500 °C, and the pyrolysis oil products were compared with commercial gasoline. Zeolite Socony Mobil-5 (ZSM-5) was used as a catalyst in all the catalytic pyrolysis experiments, which produced wax-free shorter chain hydrocarbons similar to commercial gasoline. The addition of recyclable HDPE in compostable plastics improved the selectivity of gasoline range hydrocarbon ( C 6 − C 12 ) by 10% and increased the calorific value of pyrolysis liquids by 7.5% (43 MJ/kg), which is equivalent to commercial gasoline. Moreover, both compostable and recyclable plastics produced aromatic and aliphatic hydrocarbons that have potential applications in lubricants, additives, and petrochemical industries.",August 2022,Environmental Technology & Innovation,['Zeolite'],"['compostable waste plastics', 'unused compostable bioplastics', 'recyclable high-density polyethylene', 'recyclable plastic', 'compostable plastics', 'compostable recyclable plastics']","['pyrolysis', 'catalytic pyrolysis', 'pyrolysis liquid', 'pyrolysis oil products', 'catalytic pyrolysis experiments', 'pyrolysis liquids']",['pyrolysis oil products']
6,10.1016/j.psep.2022.09.072,A novel resource conversion strategy of waste plastic express packaging bags using supercritical water-ammonia process: Optimization by response surface methodology,"With the rapid development of e-commerce and express delivery industries, a large number of waste plastic express packaging bags (WPEPBs) are generated and urgent to be safely disposed. In this work, a novel resource conversion strategy was developed to produce high value-added chemicals from WPEPBs by supercritical water ammonia (SWA) process without any catalyst. WPEPBs could be converted into two parts by the SWA process: oil and solid residue. More than 80 % of the oil was identified as long-chain alkanes and alkenes due to the decomposition of polyethylene (PE) contained in WPEPBs. The presence of NH3 in SWA was beneficial to improve the production of long-chain alkenes. The plasticizers in WPEPBs including bisphenol A (BPA) and phthalate ester (DEHP) could be efficiently converted into aniline (≈15%) and 2-ethylhexanol (≈4 %) due to the high reactivity of NH3 in the SWA process. Compared with the degradation of WPEPBs in supercritical water, the SWA process could reduce side effects and improve the purity of target products. High-purity CaCO3 powder could be further recovered from the solid residue. The optimal parameters of the SWA process for the conversion of WPEPBs by Response Surface Methodology (RSM) were 440.5 ℃, 90 min, and CNH3 of 4.8 wt%. The conversion ratio of WPEPBs (CWPEPBs) and CaCO3 recovery ratio (RCaCO3) were 99.10 % and 98.85 %, respectively. In contrast to traditional methods for recycling of plastic waste such as mechanical recycling and incineration, the SWA process is believed to be a clean and high-efficiency resource conversion strategy for WPEPBs.",December 2022,Process Safety and Environmental Protection,"['CaCO3', 'RCaCO3']","['waste plastic express packaging bags', 'polyethylene', 'The plasticizers', 'plastic waste']","['conversion', 'novel resource conversion strategy', 'degradation', 'degradation', 'conversion', 'The conversion ratio', 'clean high-efficiency resource conversion strategy']","['high value-added chemicals', 'oil', 'oil', 'production', 'target products']"
7,10.1016/j.wasman.2021.11.009,Opportunities and challenges for the application of post-consumer plastic waste pyrolysis oils as steam cracker feedstocks: To decontaminate or not to decontaminate?,"Thermochemical recycling of plastic waste to base chemicals via pyrolysis followed by a minimal amount of upgrading and steam cracking is expected to be the dominant chemical recycling technology in the coming decade. However, there are substantial safety and operational risks when using plastic waste pyrolysis oils instead of conventional fossil-based feedstocks. This is due to the fact that plastic waste pyrolysis oils contain a vast amount of contaminants which are the main drivers for corrosion, fouling and downstream catalyst poisoning in industrial steam cracking plants. Contaminants are therefore crucial to evaluate the steam cracking feasibility of these alternative feedstocks. Indeed, current plastic waste pyrolysis oils exceed typical feedstock specifications for numerous known contaminants, e.g. nitrogen (∼1650 vs. 100 ppm max.), oxygen (∼1250 vs. 100 ppm max.), chlorine (∼1460vs. 3 ppm max.), iron (∼33 vs. 0.001 ppm max.), sodium (∼0.8 vs. 0.125 ppm max.)and calcium (∼17vs. 0.5 ppm max.). Pyrolysis oils produced from post-consumer plastic waste can only meet the current specifications set for industrial steam cracker feedstocks if they are upgraded, with hydrogen based technologies being the most effective, in combination with an effective pre-treatment of the plastic waste such as dehalogenation. Moreover, steam crackers are reliant on a stable and predictable feedstock quality and quantity representing a challenge with plastic waste being largely influenced by consumer behavior, seasonal changes and local sorting efficiencies. Nevertheless, with standardization of sorting plants this is expected to become less problematic in the coming decade.",1 February 2022,Waste Management,"['sodium', 'chlorine', 'iron', 'calcium']","['plastic waste', 'plastic waste pyrolysis oils', 'current plastic waste pyrolysis oils', 'post-consumer plastic waste', 'plastic waste']","['pyrolysis', 'plastic waste pyrolysis oils', 'current plastic waste pyrolysis oils']","['plastic waste pyrolysis oils', 'current plastic waste pyrolysis oils', 'Pyrolysis oils']"
8,10.1016/j.wasman.2021.11.009,Opportunities and challenges for the application of post-consumer plastic waste pyrolysis oils as steam cracker feedstocks: To decontaminate or not to decontaminate?,"Thermochemical recycling of plastic waste to base chemicals via pyrolysis followed by a minimal amount of upgrading and steam cracking is expected to be the dominant chemical recycling technology in the coming decade. However, there are substantial safety and operational risks when using plastic waste pyrolysis oils instead of conventional fossil-based feedstocks. This is due to the fact that plastic waste pyrolysis oils contain a vast amount of contaminants which are the main drivers for corrosion, fouling and downstream catalyst poisoning in industrial steam cracking plants. Contaminants are therefore crucial to evaluate the steam cracking feasibility of these alternative feedstocks. Indeed, current plastic waste pyrolysis oils exceed typical feedstock specifications for numerous known contaminants, e.g. nitrogen (∼1650 vs. 100 ppm max.), oxygen (∼1250 vs. 100 ppm max.), chlorine (∼1460vs. 3 ppm max.), iron (∼33 vs. 0.001 ppm max.), sodium (∼0.8 vs. 0.125 ppm max.)and calcium (∼17vs. 0.5 ppm max.). Pyrolysis oils produced from post-consumer plastic waste can only meet the current specifications set for industrial steam cracker feedstocks if they are upgraded, with hydrogen based technologies being the most effective, in combination with an effective pre-treatment of the plastic waste such as dehalogenation. Moreover, steam crackers are reliant on a stable and predictable feedstock quality and quantity representing a challenge with plastic waste being largely influenced by consumer behavior, seasonal changes and local sorting efficiencies. Nevertheless, with standardization of sorting plants this is expected to become less problematic in the coming decade.",1 February 2022,Waste Management,"['sodium', 'chlorine', 'iron', 'calcium']","['plastic waste', 'plastic waste pyrolysis oils', 'current plastic waste pyrolysis oils', 'post-consumer plastic waste', 'plastic waste']","['pyrolysis', 'plastic waste pyrolysis oils', 'current plastic waste pyrolysis oils']","['plastic waste pyrolysis oils', 'current plastic waste pyrolysis oils', 'Pyrolysis oils']"
9,10.1016/j.jenvman.2022.116490,Synthesis of zero-valent iron supported with graphite and plastic based carbon from recycling spent lithium ion batteries and its reaction mechanism with 4-chlorophenol in water,"Graphite and plastic recycled from spent lithium ion batteries were used to synthesize zero-valent iron/graphite (ZVI/G), zero-valent iron/plastic-based carbon (ZVI/P), and zero-valent iron/graphite and plastic-based carbon (ZVI/GP) with iron oxide through carbothermic reduction. The aim of preparing these catalysts is to improve the performance of ZVI in the removal of 4-chlorophenol (4-CP) in water through heterogeneous Fenton reactions. The structural and textural properties of materials were characterized by X-ray diffraction, scanning electron microscopy, transmission electron microscopy, N2 adsorption/desorption, Fourier transform infrared spectroscopy, and X-ray photoelectron spectroscopy. The synthesis procedure successfully disperses ZVI particles on the synthesized materials. The combination of graphite and plastic-based carbon in ZVI/GP resulted in the best 4-CP removal performance. The degradation data fitted pseudo-first-order kinetic well. The Increase in the ZVI/GP dosage and the hydrogen peroxide concentration enhanced the 4-CP removal due to the increase in the amount of Fe2+ ions and reactive sites. Acidic pH increased the 4-CP removal percentage due to the high H+ concentration. The increase in the temperature favored the •OH formation and facilitated the 4-CP removal. The reaction energy of ZVI/GP reaches 53.54 kJ mol−1, which is competitive among the iron catalysts reported in literatures, and showing the 4-CP removal is reaction-controlled process. This study shows a promising way of recycling graphite and plastic in spent LIBs to prepare ZVI materials for wastewater treatment with the advantages of improved conductivity by graphite and added functional groups by plastic based carbon.",1 January 2023,Journal of Environmental Management,"['iron/graphite', 'graphite', 'iron', 'Graphite']","['plastic', 'graphite plastic-based carbon', 'wastewater treatment', 'plastic based carbon']",['The degradation data fitted pseudo'],['The reaction energy']
