,Title,Predict catalyst,Predict reactant,Predict products,Predict methods
0,Pyrolysis technology for plastic waste recycling: A state-of-the-art review,['naphtha'],"['plastic waste', 'plastic pyrolysis', 'new plastic manufacturing']",[],"['conversion', 'pyrolysis process']"
1,Selective recycling of BTX hydrocarbons from electronic plastic wastes using catalytic fast pyrolysis,['copper'],[],['selective production'],"['pyrolysis', 'pyrolysis process']"
2,Achieving affordable and clean energy through conversion of waste plastic to liquid fuel,['graphene'],"['plastics', 'These waste plastics', 'waste plastic']","['products', 'value - added products', 'production', 'oil']","['conversion', 'waste plastic conversion']"
3,Hydrocarbons recovery through catalytic pyrolysis of compostable and recyclable waste plastics using a novel desk-top staged reactor,['Zeolite'],"['unused compostable bioplastics', 'compostable waste plastics']",['pyrolysis oil products'],"['catalytic pyrolysis', 'pyrolysis', 'pyrolysis liquid']"
4,A novel resource conversion strategy of waste plastic express packaging bags using supercritical water-ammonia process: Optimization by response surface methodology,['CaCO3'],"['waste plastic express packaging bags', 'The plasticizers']",['production'],"['conversion', 'degradation', 'novel resource conversion strategy']"
5,Opportunities and challenges for the application of post-consumer plastic waste pyrolysis oils as steam cracker feedstocks: To decontaminate or not to decontaminate?,"['sodium', 'iron']",['plastic waste'],"['plastic waste pyrolysis oils', 'current plastic waste pyrolysis oils']","['pyrolysis', 'plastic waste pyrolysis oils']"
6,Synthesis of zero-valent iron supported with graphite and plastic based carbon from recycling spent lithium ion batteries and its reaction mechanism with 4-chlorophenol in water,"['iron / graphite', 'iron']","['plastic', 'plastic - based carbon']",['The reaction energy'],[]
7,Pyrolysis of PP and HDPE from plastic packaging waste into liquid hydrocarbons using natural zeolite Lampung as a catalyst,['zeolite'],['plastic waste'],['fuel oil'],"['pyrolysis', 'pyrolysis process']"
8,Catalytic pyrolysis of mechanically non-recyclable waste plastics mixture: Kinetics and pyrolysis in laboratory-scale reactor,[],[],[],[]
9,Recycling benzene and ethylbenzene from in-situ catalytic fast pyrolysis of plastic wastes,['zeolites'],['solid wastes'],['production'],"['catalytic conversion', 'catalytic fast pyrolysis', 'pyrolysis', 'degradation']"
10,Thermal and catalytic pyrolysis of a real mixture of post-consumer plastic waste: An analysis of the gasoline-range product,"['CaO', 'MgO']","['plastic waste', 'polymer type']","['oil', 'liquid oil', 'gasoline - range product']","['pyrolysis', 'thermal']"
11,Waste plastic thermal-transformed CNT@Fe–Mo/MgO for free radical activation and bacteria sterilization,"['Mo / MgO', 'Fe – Mo / MgO', 'MgO', 'Mo', 'Fe', '– Mo / MgO']",['waste plastics'],"['pyrolysis products', 'additional energy']","['pyrolysis products', 'pyrolysis']"
